ds,y
2020-06-21 18:00:00,28935700
2020-06-21 19:00:00,29636050
2020-06-21 20:00:00,31285639
2020-06-21 21:00:00,32280015
2020-06-21 22:00:00,30988244
2020-06-21 23:00:00,25819456
2020-06-22 00:00:00,18130765
2020-06-22 01:00:00,11259234
2020-06-22 02:00:00,7104150
2020-06-22 03:00:00,5259633
2020-06-22 04:00:00,5461069
2020-06-22 05:00:00,7190308
2020-06-22 06:00:00,10512044
2020-06-22 07:00:00,14463105
2020-06-22 08:00:00,18306022
2020-06-22 09:00:00,21542452
2020-06-22 10:00:00,23724995
2020-06-22 11:00:00,24785810
2020-06-22 12:00:00,25440810
2020-06-22 13:00:00,25590628
2020-06-22 14:00:00,26216806
2020-06-22 15:00:00,26561071
2020-06-22 16:00:00,26805619
2020-06-22 17:00:00,27888294
2020-06-22 18:00:00,29098145
2020-06-22 19:00:00,30793815
2020-06-22 20:00:00,33111996
2020-06-22 21:00:00,34380602
2020-06-22 22:00:00,33383475
2020-06-22 23:00:00,27207967
2020-06-23 00:00:00,19072934
2020-06-23 01:00:00,11674002
2020-06-23 02:00:00,7153233
2020-06-23 03:00:00,5381048
2020-06-23 04:00:00,5600002
2020-06-23 05:00:00,7542041
2020-06-23 06:00:00,11072859
2020-06-23 07:00:00,15315818
2020-06-23 08:00:00,19426760
2020-06-23 09:00:00,22798513
2020-06-23 10:00:00,25412171
2020-06-23 11:00:00,26790613
2020-06-23 12:00:00,27331655
2020-06-23 13:00:00,27066802
2020-06-23 14:00:00,27674536
2020-06-23 15:00:00,27579931
2020-06-23 16:00:00,27651884
2020-06-23 17:00:00,28175634
2020-06-23 18:00:00,28670440
2020-06-23 19:00:00,31674348
2020-06-23 20:00:00,33936476
2020-06-23 21:00:00,35615536
2020-06-23 22:00:00,35094164
2020-06-23 23:00:00,29676119
2020-06-24 00:00:00,21239208
2020-06-24 01:00:00,13248553
2020-06-24 02:00:00,8174446
2020-06-24 03:00:00,5904803
2020-06-24 04:00:00,5780134
2020-06-24 05:00:00,7389858
2020-06-24 06:00:00,10691179
2020-06-24 07:00:00,15125570
2020-06-24 08:00:00,20067011
2020-06-24 09:00:00,24455446
2020-06-24 10:00:00,26735193
2020-06-24 11:00:00,28585998
2020-06-24 12:00:00,37113374
2020-06-24 13:00:00,48940927
2020-06-24 14:00:00,39355923
2020-06-24 15:00:00,36247733
2020-06-24 16:00:00,30306746
2020-06-24 17:00:00,27791124
2020-06-24 18:00:00,31550608
2020-06-24 19:00:00,34081001
2020-06-24 20:00:00,36582825
2020-06-24 21:00:00,38599728
2020-06-24 22:00:00,38104412
2020-06-24 23:00:00,31705253
2020-06-25 00:00:00,22356627
2020-06-25 01:00:00,13510429
2020-06-25 02:00:00,8321530
2020-06-25 03:00:00,6161704
2020-06-25 04:00:00,6597411
2020-06-25 05:00:00,8914265
2020-06-25 06:00:00,13059143
2020-06-25 07:00:00,17837104
2020-06-25 08:00:00,22156112
2020-06-25 09:00:00,26041768
2020-06-25 10:00:00,28945153
2020-06-25 11:00:00,30220098
2020-06-25 12:00:00,30693148
2020-06-25 13:00:00,31172332
2020-06-25 14:00:00,31214267
2020-06-25 15:00:00,33545409
2020-06-25 16:00:00,36496807
2020-06-25 17:00:00,36228524
2020-06-25 18:00:00,37419673
2020-06-25 19:00:00,38029036
2020-06-25 20:00:00,39535410
2020-06-25 21:00:00,41236956
2020-06-25 22:00:00,40452581
2020-06-25 23:00:00,32803958
2020-06-26 00:00:00,22948324
2020-06-26 01:00:00,15126622
2020-06-26 02:00:00,7956994
2020-06-26 03:00:00,5998362
2020-06-26 04:00:00,7525740
2020-06-26 05:00:00,10270472
2020-06-26 06:00:00,14840261
2020-06-26 07:00:00,20086381
2020-06-26 08:00:00,24639611
2020-06-26 09:00:00,29574793
2020-06-26 10:00:00,33662570
2020-06-26 11:00:00,34779983
2020-06-26 12:00:00,34096412
2020-06-26 13:00:00,33305574
2020-06-26 14:00:00,33104381
2020-06-26 15:00:00,32969173
2020-06-26 16:00:00,32180709
2020-06-26 17:00:00,31416641
2020-06-26 18:00:00,30985323
2020-06-26 19:00:00,32424798
2020-06-26 20:00:00,33649922
2020-06-26 21:00:00,35186198
2020-06-26 22:00:00,35941578
2020-06-26 23:00:00,31378912
2020-06-27 00:00:00,22376886
2020-06-27 01:00:00,14359359
2020-06-27 02:00:00,9224971
2020-06-27 03:00:00,6711761
2020-06-27 04:00:00,6511134
2020-06-27 05:00:00,8206114
2020-06-27 06:00:00,11664503
2020-06-27 07:00:00,16298940
2020-06-27 08:00:00,21327447
2020-06-27 09:00:00,26005032
2020-06-27 10:00:00,28392048
2020-06-27 11:00:00,29483268
2020-06-27 12:00:00,30175891
2020-06-27 13:00:00,30601853
2020-06-27 14:00:00,29769611
2020-06-27 15:00:00,30142998
2020-06-27 16:00:00,29859539
2020-06-27 17:00:00,31110665
2020-06-27 18:00:00,34564323
2020-06-27 19:00:00,36290068
2020-06-27 20:00:00,36898047
2020-06-27 21:00:00,39329305
2020-06-27 22:00:00,36538349
2020-06-27 23:00:00,30778895
2020-06-28 00:00:00,22669067
2020-06-28 01:00:00,14859979
2020-06-28 02:00:00,9463378
2020-06-28 03:00:00,6818836
2020-06-28 04:00:00,6209456
2020-06-28 05:00:00,7594162
2020-06-28 06:00:00,10569624
2020-06-28 07:00:00,15074857
2020-06-28 08:00:00,20249351
2020-06-28 09:00:00,24812371
2020-06-28 10:00:00,27762845
2020-06-28 11:00:00,30298589
2020-06-28 12:00:00,31239213
2020-06-28 13:00:00,31407859
2020-06-28 14:00:00,32779622
2020-06-28 15:00:00,32082156
2020-06-28 16:00:00,31776755
2020-06-28 17:00:00,32388626
2020-06-28 18:00:00,33984914
2020-06-28 19:00:00,36798576
2020-06-28 20:00:00,37679386
2020-06-28 21:00:00,39423328
2020-06-28 22:00:00,38128832
2020-06-28 23:00:00,31757841
2020-06-29 00:00:00,21993923
2020-06-29 01:00:00,13501873
2020-06-29 02:00:00,8433889
2020-06-29 03:00:00,6472804
2020-06-29 04:00:00,6790357
2020-06-29 05:00:00,9081488
2020-06-29 06:00:00,13257536
2020-06-29 07:00:00,18512628
2020-06-29 08:00:00,22667511
2020-06-29 09:00:00,26638701
2020-06-29 10:00:00,30363534
2020-06-29 11:00:00,31051293
2020-06-29 12:00:00,31570289
2020-06-29 13:00:00,31564218
2020-06-29 14:00:00,30996021
2020-06-29 15:00:00,30861544
2020-06-29 16:00:00,30882187
2020-06-29 17:00:00,31506432
2020-06-29 18:00:00,32089390
2020-06-29 19:00:00,34995275
2020-06-29 20:00:00,37595024
2020-06-29 21:00:00,39270080
2020-06-29 22:00:00,38087939
2020-06-29 23:00:00,31175671
